Tên;Phân loại;Đơn vị tính;Thực hiện năm 2022;Ước tính năm 2023;Năm 2023 so với năm 2022 (%)
Lương thực có hạt;Sản lượng;Tấn;28986.24;29269.83;100.98
Lúa đông xuân;Diện tích gieo trồng;Ha;2526;2373.97;93.98
Lúa đông xuân;Năng suất;Tạ/ha;59.03;65.23;110.5
Lúa đông xuân;Sản lượng;Tấn;14911.62;15486;103.85
Lúa mùa;Diện tích gieo trồng;Ha;2297;2081.6;90.62
Lúa mùa;Năng suất;Tạ/ha;57.3;62.55;109.16
Lúa mùa;Sản lượng;Tấn;13161.62;13020;98.92
Ngô;Diện tích gieo trồng;Ha;155.06;114.31;73.72
Ngô;Năng suất;Tạ/ha;58.88;66.82;113.49
Ngô;Sản lượng;Tấn;913;763.83;83.66
Khoai lang;Diện tích gieo trồng;Ha;230.78;191;82.76
Khoai lang;Năng suất;Tạ/ha;68.51;83.77;122.28
Khoai lang;Sản lượng;Tấn;1581;1600;101.2
Sắn;Diện tích gieo trồng;Ha;98.2;78.46;79.9
Sắn;Năng suất;Tạ/ha;61.3;73.67;120.17
Sắn;Sản lượng;Tấn;602;578;96.01
Mía;Diện tích gieo trồng;Ha;306.5;297.52;97.07
Mía;Năng suất;Tạ/ha;458.4;408.01;89.01
Mía;Sản lượng;Tấn;14050;12139;86.4
Thuốc lá;Diện tích gieo trồng;Ha;6.55;0.2;3.05
Thuốc lá;Năng suất;Tạ/ha;22.9;25;109.17
Thuốc lá;Sản lượng;Tấn;15;0.5;3.33
Lạc;Diện tích gieo trồng;Ha;318.14;256.9;80.75
Lạc;Năng suất;Tạ/ha;16.97;19.85;116.96
Lạc;Sản lượng;Tấn;540;510;94.44
Mè;Diện tích gieo trồng;Ha;147.29;196.1;133.14
Mè;Năng suất;Tạ/ha;10.32;9.69;93.89
Mè;Sản lượng;Tấn;152;190;125
Rau;Diện tích gieo trồng;Ha;952.74;876.68;92.02
Rau;Năng suất;Tạ/ha;182.03;194.12;106.64
Rau;Sản lượng;Tấn;17343.1;17018.2;98.13
Đậu;Diện tích gieo trồng;Ha;114.04;77.7;68.13
Đậu;Năng suất;Tạ/ha;11.6;11.48;98.96
Đậu;Sản lượng;Tấn;132.3;89.2;67.42
Hoa;Diện tích gieo trồng;Ha;118.2;121.65;102.92
Hoa;Sản lượng;1000 bông;5728;5840;101.96
