Phân loại;Tên;Đơn vị tính;Thực hiện năm 2023;Ước tính năm 2024;Năm 2024 so với năm 2023 (%)
Sản lượng lương thực có hạt;Sản lượng lương thực có hạt;Tấn;29216;31895;109.17
Lúa đông xuân;Diện tích gieo trồng;Ha;2374;2422;102.04
Lúa đông xuân;Năng suất;Tạ/ha;65.23;69.08;105.9
Lúa đông xuân;Sản lượng;Tấn;15486;16734;108.06
Lúa mùa;Diện tích gieo trồng;Ha;2203;2132;96.78
Lúa mùa;Năng suất;Tạ/ha;59.14;67.77;114.59
Lúa mùa;Sản lượng;Tấn;13029;14449;110.9
Ngô;Diện tích gieo trồng;Ha;114;112;98.38
Ngô;Năng suất;Tạ/ha;61.42;63.41;103.24
Ngô;Sản lượng;Tấn;701;712;101.57
Khoai lang;Diện tích gieo trồng;Ha;112;102;91.07
Khoai lang;Năng suất;Tạ/ha;89.91;84.41;93.88
Khoai lang;Sản lượng;Tấn;1007;861;85.5
Sắn;Diện tích gieo trồng;Ha;28;20;71.43
Sắn;Năng suất;Tạ/ha;250.88;319.45;127.33
Sắn;Sản lượng;Tấn;714;649;90.96
Mía;Diện tích gieo trồng;Ha;298;109;36.59
Mía;Năng suất;Tạ/ha;389.56;956.86;245.62
Mía;Sản lượng;Tấn;11609;10433;89.87
Thuốc lá;Diện tích gieo trồng;Ha;0.2;2.5;1250
Thuốc lá;Năng suất;Tạ/ha;25;15;60
Thuốc lá;Sản lượng;Tấn;0.5;3.8;750
Lạc;Diện tích gieo trồng;Ha;259;266;102.84
Lạc;Năng suất;Tạ/ha;19.84;23.1;116.42
Lạc;Sản lượng;Tấn;514;615;119.72
Mè;Diện tích gieo trồng;Ha;197;165;83.51
Mè;Năng suất;Tạ/ha;6.18;9.93;160.58
Mè;Sản lượng;Tấn;122;163;134.1
Rau;Diện tích gieo trồng;Ha;639;967;151.4
Rau;Năng suất;Tạ/ha;237.01;155.96;65.8
Rau;Sản lượng;Tấn;15134;15077;99.62
Đậu;Diện tích gieo trồng;Ha;59;31;52.42
Đậu;Năng suất;Tạ/ha;12.36;17.31;140.04
Đậu;Sản lượng;Tấn;73;54;73.42
