Tên;Phân loại;Đơn vị tính;Thực hiện năm 2021;Ước tính năm 2022;Năm 2022 so với năm 2021 (%)
Chè;Diện tích trồng;Ha;72;72;100
Chè;Diện tích thu hoạch;Ha;71.45;71.45;100
Chè;Năng suất;Tạ/ha;59.48;62.98;105.88
Chè;Sản lượng;Tấn;425;450;105.88
Hồ tiêu;Diện tích trồng;Ha;45;45;100
Hồ tiêu;Diện tích thu hoạch;Ha;44.5;44.5;100
Hồ tiêu;Năng suất;Tạ/ha;14.61;14.16;96.92
Hồ tiêu;Sản lượng;Tấn;65;63;96.92
Điều;Diện tích trồng;Ha;18;18;100
Điều;Diện tích thu hoạch;Ha;18;18;100
Điều;Năng suất;Tạ/ha;47.78;46.67;97.67
Điều;Sản lượng;Tấn;86;84;97.67
Dừa;Diện tích trồng;Ha;33.1;33.1;100
Dừa;Diện tích thu hoạch;Ha;32.55;32.55;100
Dừa;Năng suất;Tạ/ha;143.16;141.32;98.71
Dừa;Sản lượng;Tấn;466;460;98.71
Xoài;Diện tích trồng;Ha;60.17;60.17;100
Xoài;Diện tích thu hoạch;Ha;56.19;56.19;100
Xoài;Năng suất;Tạ/ha;13.53;13.7;101.32
Xoài;Sản lượng;Tấn;76;77;101.32
Chuối;Diện tích trồng;Ha;277;286.19;103.32
Chuối;Diện tích thu hoạch;Ha;266.94;277;103.77
Chuối;Năng suất;Tạ/ha;84.18;83.03;98.64
Chuối;Sản lượng;Tấn;2247;2300;102.36
Thanh long;Diện tích trồng;Ha;29.6;30.1;101.69
Thanh long;Diện tích thu hoạch;Ha;28.47;29.6;103.97
Thanh long;Năng suất;Tạ/ha;20.11;19.93;99.14
Thanh long;Sản lượng;Tấn;57.24;59;103.07
Dứa;Diện tích trồng;Ha;26.2;26.2;100
Dứa;Diện tích thu hoạch;Ha;25.57;25.57;100
Dứa;Năng suất;Tạ/ha;158;162.3;102.72
Dứa;Sản lượng;Tấn;404;415;102.72
Mít;Diện tích trồng;Ha;31.2;35.98;115.32
Mít;Diện tích thu hoạch;Ha;30.1;31.1;103.32
Mít;Năng suất;Tạ/ha;190.7;196.14;102.85
Mít;Sản lượng;Tấn;574;610;106.27
Cam;Diện tích trồng;Ha;32.83;33.41;101.77
Cam;Diện tích thu hoạch;Ha;31.41;31.41;100
Cam;Năng suất;Tạ/ha;50.62;51.26;101.26
Cam;Sản lượng;Tấn;159;161;101.26
Quýt;Diện tích trồng;Ha;14.2;14.2;100
Quýt;Diện tích thu hoạch;Ha;14.18;14.18;100
Quýt;Năng suất;Tạ/ha;39.49;38.79;98.21
Quýt;Sản lượng;Tấn;56;55;98.21
Chanh;Diện tích trồng;Ha;25.8;25.9;100.39
Chanh;Diện tích thu hoạch;Ha;22.05;22.05;100
Chanh;Năng suất;Tạ/ha;154.2;158.73;102.94
Chanh;Sản lượng;Tấn;340;350;102.94
Bưởi;Diện tích trồng;Ha;74.2;79.37;106.97
Bưởi;Diện tích thu hoạch;Ha;72.5;72.5;100
Bưởi;Năng suất;Tạ/ha;61.66;63.45;102.91
Bưởi;Sản lượng;Tấn;447;460;102.91
