Phân loại;Tên;Đơn vị tính;Thực hiện năm 2023;Ước tính năm 2024;Năm 2024 so với năm 2023 (%)
Chè;Diện tích trồng;Ha;136;118;86.48
Chè;Diện tích thu hoạch;Ha;132;118;89.02
Chè;Năng suất;Tạ/ha;46.6;28.5;61.15
Chè;Sản lượng;Tấn;615;335;54.43
Hồ tiêu;Diện tích trồng;Ha;2;3;147.37
Hồ tiêu;Diện tích thu hoạch;Ha;1;2;166.67
Hồ tiêu;Năng suất;Tạ/ha;25;21;84
Hồ tiêu;Sản lượng;Tấn;3;4;140
Dừa;Diện tích trồng;Ha;30;33;111.34
Dừa;Diện tích thu hoạch;Ha;23;23;100
Dừa;Năng suất;Tạ/ha;198;206.7;104.41
Dừa;Sản lượng;Tấn;450;470;104.41
Xoài;Diện tích trồng;Ha;60;60;99.72
Xoài;Diện tích thu hoạch;Ha;56;56;98.47
Xoài;Năng suất;Tạ/ha;64.9;55.4;85.4
Xoài;Sản lượng;Tấn;366;308;84.1
Chuối;Diện tích trồng;Ha;286;286;99.93
Chuối;Diện tích thu hoạch;Ha;249;249;99.87
Chuối;Năng suất;Tạ/ha;157.8;157.3;99.7
Chuối;Sản lượng;Tấn;3928;3911;99.56
Thanh long;Diện tích trồng;Ha;30;30;100.33
Thanh long;Diện tích thu hoạch;Ha;30;30;100.37
Thanh long;Năng suất;Tạ/ha;24;25.9;107.83
Thanh long;Sản lượng;Tấn;72;78;108.22
Dứa;Diện tích trồng;Ha;26;26;99.24
Dứa;Diện tích thu hoạch;Ha;24;24;98.34
Dứa;Năng suất;Tạ/ha;54.3;58.6;108
Dứa;Sản lượng;Tấn;131;139;106.21
Mít;Diện tích trồng;Ha;59;48;81.13
Mít;Diện tích thu hoạch;Ha;23;28;120.78
Mít;Năng suất;Tạ/ha;271;233;85.99
Mít;Sản lượng;Tấn;618;642;103.86
Cam;Diện tích trồng;Ha;33;33;100
Cam;Diện tích thu hoạch;Ha;32;32;100
Cam;Năng suất;Tạ/ha;92.8;92;99.14
Cam;Sản lượng;Tấn;298;296;99.14
Quýt;Diện tích trồng;Ha;14;14;100
Quýt;Diện tích thu hoạch;Ha;14;14;100
Quýt;Năng suất;Tạ/ha;119.1;129.1;108.32
Quýt;Sản lượng;Tấn;161;174;108.32
Chanh;Diện tích trồng;Ha;27;27;100
Chanh;Diện tích thu hoạch;Ha;26;26;100
Chanh;Năng suất;Tạ/ha;82.3;87.4;106.21
Chanh;Sản lượng;Tấn;212;225;106.21
Bưởi;Diện tích trồng;Ha;105;110;104.41
Bưởi;Diện tích thu hoạch;Ha;64;69;107.3
Bưởi;Năng suất;Tạ/ha;93.9;88;93.81
Bưởi;Sản lượng;Tấn;600;604;100.66
