Phân loại;Tên;ĐVT;Thực hiện cùng kỳ năm trước;Thực hiện kỳ báo cáo;Kỳ báo cáo so với cùng kỳ năm trước (%)
Diện tích gieo trồng cây hàng năm;Lúa;Ha;87592;87648;100.06
Diện tích gieo trồng cây hàng năm;Lúa đông xuân;Ha;43955;44013;100.13
Diện tích gieo trồng cây hàng năm;"Lúa mùa
";Ha;43638;43635;99.99
Diện tích gieo trồng cây hàng năm;Ngô;Ha;11818;11860;100.35
Diện tích gieo trồng cây hàng năm;Khoai lang;Ha;1957;1764;90.13
Diện tích gieo trồng cây hàng năm;Đậu tương;Ha;72;55;76.25
Diện tích gieo trồng cây hàng năm;Lạc;Ha;9994;9563;95.68
Diện tích gieo trồng cây hàng năm;Rau các loại;Ha;13030;13164;101.03
Diện tích gieo trồng cây hàng năm;Đậu các loại;Ha;5073;5290;104.28
Sản lượng thu hoạch các loại cây trồng;Lúa;Tấn;496226;492938;99.34
Sản lượng thu hoạch các loại cây trồng;Lúa đông xuân;Tấn;277806;270298;97.3
Sản lượng thu hoạch các loại cây trồng;Lúa mùa;Tấn;218420;222640;101.93
Sản lượng thu hoạch các loại cây trồng;Các loại cây khác;Tấn;;;
Sản lượng thu hoạch các loại cây trồng;Ngô;Tấn;49547;51513;103.97
Sản lượng thu hoạch các loại cây trồng;Khoai lang;Tấn;14488;12907;89.09
Sản lượng thu hoạch các loại cây trồng;Đậu tương;Tấn;142;119;83.45
Sản lượng thu hoạch các loại cây trồng;Lạc;Tấn;23327;21309;91.35
Sản lượng thu hoạch các loại cây trồng;Rau các loại;Tấn;268002;269669;100.62
Sản lượng thu hoạch các loại cây trồng;Đậu các loại;Tấn;9342;9162;98.07
Sản lượng thu hoạch các loại cây trồng;;Tấn;;;
